model,dataset_id,page_index,tokens_total,tokens_correct,tokens_wrong,extra_pred_tokens,substitutions,deletions,insertions,accuracy,accuracy_percent
LLM Google Gemini-3.5 Flash-plain,6,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,6,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,6,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,6,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,6,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,6,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,6,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,7,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,7,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,7,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,7,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,7,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,7,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,7,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,7,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,7,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,7,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,7,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,7,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,8,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,8,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,8,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,8,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,8,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,8,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,8,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,8,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,8,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,8,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,8,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,8,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,9,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,9,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,9,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,9,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,9,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,9,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,9,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,9,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,9,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,9,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,9,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,9,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,10,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,10,2,4,0,4,0,1,3,0,0.000000,0.00
LLM Google Gemini-3.5 Flash-plain,10,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,10,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,10,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,10,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,10,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,10,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,10,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,10,10,6,5,1,0,1,0,0,0.833333,83.33
LLM Google Gemini-3.5 Flash-plain,10,11,6,5,1,0,1,0,0,0.833333,83.33
LLM Google Gemini-3.5 Flash-plain,10,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,11,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,11,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,11,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,11,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,11,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,11,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,11,7,4,3,1,0,1,0,0,0.750000,75.00
LLM Google Gemini-3.5 Flash-plain,11,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,11,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,11,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,11,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,11,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,12,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,12,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,12,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,12,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,12,5,9,8,1,0,1,0,0,0.888889,88.89
LLM Google Gemini-3.5 Flash-plain,12,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,12,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,12,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,12,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,12,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,12,11,6,5,1,0,1,0,0,0.833333,83.33
LLM Google Gemini-3.5 Flash-plain,12,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,13,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,13,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,13,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,13,4,4,3,1,0,1,0,0,0.750000,75.00
LLM Google Gemini-3.5 Flash-plain,13,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,13,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,13,7,4,3,1,0,1,0,0,0.750000,75.00
LLM Google Gemini-3.5 Flash-plain,13,8,3,3,0,0,0,0,0,1.000000,100.00
