dataset_id,page_idx,gt_tokens,pred_tokens,correct,substitutions,deletions,insertions,accuracy
11,11,4,4,4,0,0,0,1.000000
12,0,2,2,2,0,0,0,1.000000
12,1,4,4,4,0,0,0,1.000000
12,2,4,4,4,0,0,0,1.000000
12,3,4,4,4,0,0,0,1.000000
12,4,9,9,9,0,0,0,1.000000
12,5,2,2,2,0,0,0,1.000000
12,6,4,4,4,0,0,0,1.000000
12,7,3,3,3,0,0,0,1.000000
12,8,3,3,3,0,0,0,1.000000
12,9,6,6,6,0,0,0,1.000000
12,10,6,6,6,0,0,0,1.000000
12,11,4,4,4,0,0,0,1.000000
13,0,2,2,2,0,0,0,1.000000
13,1,4,4,3,1,0,0,0.750000
13,2,4,4,4,0,0,0,1.000000
13,3,4,4,3,1,0,0,0.750000
13,4,9,9,9,0,0,0,1.000000
13,5,2,2,1,1,0,0,0.500000
13,6,4,4,3,1,0,0,0.750000
13,7,3,3,3,0,0,0,1.000000
13,8,3,3,3,0,0,0,1.000000
13,9,6,6,6,0,0,0,1.000000
13,10,6,6,5,1,0,0,0.833333
13,11,4,4,4,0,0,0,1.000000
14,0,2,2,2,0,0,0,1.000000
14,1,4,4,4,0,0,0,1.000000
14,2,4,4,4,0,0,0,1.000000
14,3,4,4,3,1,0,0,0.750000
14,4,9,9,9,0,0,0,1.000000
14,5,2,2,2,0,0,0,1.000000
14,6,4,4,4,0,0,0,1.000000
14,7,3,3,3,0,0,0,1.000000
14,8,3,3,3,0,0,0,1.000000
14,9,6,6,6,0,0,0,1.000000
14,10,6,6,6,0,0,0,1.000000
14,11,4,4,4,0,0,0,1.000000
15,0,2,2,2,0,0,0,1.000000
15,1,4,4,4,0,0,0,1.000000
15,2,4,4,4,0,0,0,1.000000
15,3,4,4,2,2,0,0,0.500000
15,4,9,9,9,0,0,0,1.000000
15,5,2,2,2,0,0,0,1.000000
15,6,4,4,3,1,0,0,0.750000
15,7,3,3,3,0,0,0,1.000000
15,8,3,3,3,0,0,0,1.000000
15,9,6,6,6,0,0,0,1.000000
15,10,6,6,3,3,0,0,0.500000
15,11,4,4,4,0,0,0,1.000000
16,0,2,2,2,0,0,0,1.000000
16,1,4,4,4,0,0,0,1.000000
16,2,4,4,4,0,0,0,1.000000
16,3,4,4,4,0,0,0,1.000000
16,4,9,9,9,0,0,0,1.000000
16,5,2,2,2,0,0,0,1.000000
16,6,4,4,4,0,0,0,1.000000
16,7,3,3,3,0,0,0,1.000000
16,8,3,3,3,0,0,0,1.000000
16,9,6,6,6,0,0,0,1.000000
16,10,6,6,6,0,0,0,1.000000
16,11,4,4,4,0,0,0,1.000000
17,0,2,2,2,0,0,0,1.000000
17,1,4,4,4,0,0,0,1.000000
17,2,4,4,4,0,0,0,1.000000
17,3,4,4,4,0,0,0,1.000000
17,4,9,9,9,0,0,0,1.000000
17,5,2,2,2,0,0,0,1.000000
17,6,4,4,4,0,0,0,1.000000
17,7,3,3,3,0,0,0,1.000000
17,8,3,3,3,0,0,0,1.000000
17,9,6,6,6,0,0,0,1.000000
17,10,6,6,6,0,0,0,1.000000
17,11,4,4,4,0,0,0,1.000000
18,0,2,2,1,1,0,0,0.500000
